"","x"
"372",0.127917989127226
"373",0.1305289368716
"374",0.133102436662548
"375",0.135638716123904
"376",0.138138002226082
"377",0.140600521286859
"378",0.143026498972171
"379",0.145416160296903
"380",0.147769729625677
"381",0.150087430673645
"382",0.15236948650728
"383",0.15461611954516
"384",0.156827551558772
"385",0.159004003673286
"386",0.161145696368361
"387",0.163252849478923
"388",0.165325682195965
"389",0.167364413067332
"390",0.169369259998511
"391",0.17134044025343
"392",0.173278170455235
"393",0.175182666587092
"394",0.177054143992974
"395",0.178892817378449
"396",0.180698900811473
"397",0.18247260772318
"398",0.184214150908673
"399",0.185923742527816
"400",0.18760159410602
"401",0.189247916535038
"402",0.190862920073754
"403",0.192446814348972
"404",0.19399980835621
"405",0.195522110460488
"406",0.197013928397118
"407",0.198475469272497
"408",0.199906939564898
"409",0.201308545125254
"410",0.202680491177959
"411",0.20402298232165
"412",0.205336222530001
"413",0.206620415152513
"414",0.207875762915305
"415",0.209102467921905
"416",0.210300731654039
"417",0.211470754972421
"418",0.21261273811755
"419",0.213726880710488
"420",0.214813381753665
"421",0.215872439631658
"422",0.21690425211199
"423",0.217909016345914
"424",0.218886928869206
"425",0.219838185602959
"426",0.220762981854368
"427",0.221661512317523
"428",0.222533971074201
"429",0.223380551594655
"430",0.224201446738402
"431",0.224996848755021
"432",0.225766949284935
"433",0.226511939360207
"434",0.227232009405328
"435",0.227927349238011
"436",0.228598148069977
"437",0.229244594507747
"438",0.229866876553435
"439",0.230465181605536
"440",0.231039696459717
"441",0.23159060730961
"442",0.232118099747598
"443",0.232622358765609
"444",0.233103568755906
"445",0.233561913511876
"446",0.233997576228824
"447",0.234410739504759
"448",0.234801585341187
"449",0.235170295143904
"450",0.235517049723781
"451",0.235842029297559
"452",0.236145413488638
"453",0.236427381327868
"454",0.236688111254339
"455",0.236927781116171
"456",0.237146568171306
"457",0.237344649088298
"458",0.237522199947105
"459",0.237679396239875
"460",0.237816412871742
"461",0.237933424161613
"462",0.238030603842961
"463",0.238108125064613
"464",0.238166160391543
"465",0.238204881805661
"466",0.238224460706603
"467",0.238225067912524
"468",0.238206873660887
"469",0.238170047609253
"470",0.238114758836073
"471",0.238041175841477
"472",0.237949466548066
"473",0.237839798301703
"474",0.2377123378723
"475",0.237567251454614
"476",0.237404704669031
"477",0.237224862562364
"478",0.237027889608638
"479",0.236813949709882
"480",0.23658320619692
"481",0.236335821830164
"482",0.236071958800397
"483",0.235791778729574
"484",0.235495442671604
"485",0.235183111113143
"486",0.234854943974389
"487",0.234511100609864
"488",0.234151739809215
"489",0.233777019797993
"490",0.233387098238455
"491",0.232982132230345
"492",0.23256227831169
"493",0.232127692459591
"494",0.23167853009101
"495",0.231214946063562
"496",0.230737094676306
"497",0.230245129670538
"498",0.229739204230576
"499",0.229219470984555
"500",0.228686082005216
"501",0.228139188810697
"502",0.227578942365322
"503",0.227005493080394
"504",0.226418990814985
"505",0.225819584876726
"506",0.225207424022596
"507",0.224582656459714
"508",0.223945429846132
"509",0.223295891291621
"510",0.222634187358466
"511",0.221960464062252
"512",0.221274866872659
"513",0.220577540714249
"514",0.219868629967259
"515",0.219148278468389
"516",0.218416629511597
"517",0.217673825848884
"518",0.21692000969109
"519",0.21615532270868
"520",0.215379906032535
"521",0.214593900254749
"522",0.213797445429409
"523",0.212990681073395
"524",0.212173746167164
"525",0.211346779155546
"526",0.21050991794853
"527",0.209663299922057
"528",0.208807061918808
"529",0.207941340249001
"530",0.207066270691172
"531",0.206181988492975
"532",0.205288628371965
"533",0.204386324516393
"534",0.203475210585996
"535",0.202555419712786
"536",0.201627084501842
"537",0.200690337032099
"538",0.19974530885714
"539",0.198792131005988
"540",0.197830933983892
"541",0.196861847773122
"542",0.195885001833758
"543",0.194900525104478
"544",0.193908546003354
"545",0.192909192428638
"546",0.191902591759554
"547",0.19088887085709
"548",0.189868156064785
"549",0.188840573209524
"550",0.187806247602325
"551",0.186765304039132
"552",0.185717866801603
"553",0.184664059657902
"554",0.183604005863492
"555",0.182537828161921
"556",0.181465648785616
"557",0.18038758945667
"558",0.179303771387639
"559",0.178214315282324
"560",0.177119341336568
"561",0.176018969239045
"562",0.17491331817205
"563",0.173802506812289
"564",0.17268665333167
"565",0.171565875398095
"566",0.170440290176248
"567",0.169310014328388
"568",0.168175164015139
"569",0.167035854896277
"570",0.165892202131528
"571",0.164744320381351
"572",0.163592323807733
"573",0.162436326074979
"574",0.161276440350499
"575",0.160112779305604
"576",0.158945455116294
"577",0.157774579464048
"578",0.156600263536615
"579",0.155422618028804
"580",0.154241753143277
"581",0.153057778591337
"582",0.151870803593718
"583",0.150680936881379
"584",0.149488286696292
"585",0.148292960792233
"586",0.147095066435571
"587",0.145894710406063
"588",0.14469199899764
"589",0.1434870380192
"590",0.142279932795397
"591",0.141070788167433
"592",0.139859708493849
"593",0.138646797651314
"594",0.137432159035414
"595",0.136215895561448
"596",0.134998109665214
"597",0.1337789033038
"598",0.132558377956376
"599",0.131336634624984
"600",0.130113773835329
"601",0.128889895637568
"602",0.127665099607103
"603",0.12643948484537
"604",0.125213149980628
"605",0.123986193168753
"606",0.122758712094028
"607",0.121530803969929
"608",0.120302565539922
"609",0.11907409307825
"610",0.117845482390723
"611",0.116616828815511
"612",0.115388227223933
"613",0.114159772021248
"614",0.112931557147445
"615",0.111703676078033
"616",0.110476221824835
"617",0.109249286936775
"618",0.108022963500668
"619",0.106797343142014
"620",0.105572517025788
"621",0.104348575857226
"622",0.103125609882621
"623",0.101903708890112
"624",0.100682962210474
"625",0.0994634587179058
"626",0.0982452868308269
"627",0.097028534512663
"628",0.095813289272638
"629",0.094599638166565
"630",0.0933876677976366
"631",0.0921774643172151
"632",0.0909691134256234
"633",0.0897627003729359
"634",0.0885583099597683
"635",0.0873560265380685
"636",0.0861559340119073
"637",0.0849581158382695
"638",0.0837626550278429
"639",0.0825696341458103
"640",0.0813791353126394
"641",0.0801912402048738
"642",0.0790060300559226
"643",0.0778235856568527
"644",0.0766439873571779
"645",0.0754673150656492
"646",0.0742936482510468
"647",0.0731230659429699
"648",0.0719556467326272
"649",0.070791468773627
"650",0.0696306097827691
"651",0.0684731470408342
"652",0.0673191573933747
"653",0.0661687172515056
"654",0.0650219025926948
"655",0.063878788961554
"656",0.0627394514706281
"657",0.0616039648011878
"658",0.0604724032040182
"659",0.0593448405002102
"660",0.0582213500819518
"661",0.057102004913317
"662",0.055986877531058
"663",0.0548760400453943
"664",0.0537695641408044
"665",0.0526675210768161
"666",0.0515699816887965
"667",0.0504770163887434
"668",0.0493886951660755
"669",0.048305087588422
"670",0.0472262628024154
"671",0.0461522895344796
"672",0.0450832360916224
"673",0.0440191703622249
"674",0.0429601598168323
"675",0.041906271508945
"676",0.0408575720758082
"677",0.0398141277392037
"678",0.0387760043062391
"679",0.0377432671701396
"680",0.0367159813110377
"681",0.0356942112967641
"682",0.0346780212836381
"683",0.0336674750172588
"684",0.0326626358332947
"685",0.0316635666582748
"686",0.0306703300103792
"687",0.0296829880002294
"688",0.0287016023316793
"689",0.027726234302605
"690",0.0267569448056965
"691",0.025793794329247
"692",0.0248368429579445
"693",0.0238861503736616
"694",0.0229417758562465
"695",0.0220037782843135
"696",0.0210722161360337
"697",0.0201471474899252
"698",0.0192286300256437
"699",0.0183167210247734
"700",0.0174114773716174
"701",0.0165129555539883
"702",0.0156212116639985
"703",0.014736301398851
"704",0.0138582800616302
"705",0.0129872025620918
"706",0.012123123417454
"707",0.0112660967531879
"708",0.0104161763038078
"709",0.00957341541366186
"710",0.00873786703772311
"711",0.00790958374237941
"712",0.0070886177062242
"713",0.00627502072084712
"714",0.00546884419162504
"715",0.00467013913851156
"716",0.00387895619682838
"717",0.00309534561805588
"718",0.00231935727062306
"719",0.00155104064069865
"720",0.000790444832981928
"721",3.76185714923687e-05
"722",-0.000707389799639154
"723",-0.00144453231537985
"724",-0.0021737613890046
"725",-0.00289502981130519
"726",-0.00360829074979994
"727",-0.00431349774794315
"728",-0.0050106047243344
"729",-0.00569956597192824
"730",-0.0063803361572429
"731",-0.00705287031957093
"732",-0.00771712387018754
"733",-0.00837305259156063
"734",-0.00902061263656003
"735",-0.00965976052766696
"736",-0.0102904531561836
"737",-0.0109126477814421
"738",-0.0115263020300145
"739",-0.0121313738949222
"740",-0.0127278217348448
"741",-0.0133156042733302
"742",-0.0138946805980036
"743",-0.0144650101597774
"744",-0.0150265527720596
"745",-0.0155792686099648
"746",-0.0161231182095223
"747",-0.0166580624668862
"748",-0.0171840626375448
"749",-0.0177010803355295
"750",-0.018209077532625
"751",-0.0187080165575784
"752",-0.0191978600953086
"753",-0.0196785711861155
"754",-0.0201501132248899
"755",-0.0206124499603228
"756",-0.0210655454941145
"757",-0.0215093642801846
"758",-0.0219438711238811
"759",-0.0223690311811897
"760",-0.0227848099579434
"761",-0.0231911733090322
"762",-0.023588087437612
"763",-0.0239755188943146
"764",-0.0243534345764566
"765",-0.0247218017272494
"766",-0.025080587935008
"767",-0.025429761132361
"768",-0.0257692895954596
"769",-0.0260991419431874
"770",-0.0264192871363698
"771",-0.026729694476983
"772",-0.0270303336073639
"773",-0.0273211745094196
"774",-0.0276021875038362
"775",-0.0278733432492889
"776",-0.0281346127416512
"777",-0.0283859673132044
"778",-0.0286273786318469
"779",-0.0288588187003036
"780",-0.0290802598553356
"781",-0.0292916747669492
"782",-0.0294930364376061
"783",-0.029684318201432
"784",-0.0298654937234264
"785",-0.0300365369986722
"786",-0.0301974223515448
"787",-0.0303481244349217
"788",-0.0304886182293922
"789",-0.0306188790424661
"790",-0.0307388825077842
"791",-0.0308486045843264
"792",-0.0309480215556226
"793",-0.0310371100289611
"794",-0.0311158469345983
"795",-0.0311842095249682
"796",-0.0312421753738921
"797",-0.0312897223757873
"798",-0.0313268287448775
"799",-0.0313534730144014
"800",-0.0313696340358225
"801",-0.0313752909780386
"802",-0.0313704233265912
"803",-0.0313550108828748
"804",-0.0313290337633463
"805",-0.0312924723987349
"806",-0.0312453075332508
"807",-0.0311875202237952
"808",-0.0311190918391696
"809",-0.0310400040592852
"810",-0.0309502388743724
"811",-0.03084977858419
"812",-0.0307386057972348
"813",-0.0306167034299513
"814",-0.0304840547059406
"815",-0.0303406431551704
"816",-0.0301864526131839
"817",-0.0300214672203097
"818",-0.0298456714208708
"819",-0.0296590499623945
"820",-0.0294615878948215
"821",-0.0292532705697154
"822",-0.0290340836394722
"823",-0.0288040130565298
"824",-0.0285630450725774
"825",-0.0283111662377645
"826",-0.0280483633999112
"827",-0.027774623703717
"828",-0.0274899345899701
"829",-0.0271942837947576
"830",-0.0268876593486742
"831",-0.0265700495760319
"832",-0.0262414430940696
"833",-0.0259018288121622
"834",-0.0255511959310303
"835",-0.0251895339419495
"836",-0.0248168326259601
"837",-0.024433082053076
"838",-0.0240382725814947
"839",-0.0236323948568064
"840",-0.0232154398112034
"841",-0.02278739866269
"842",-0.0223482629142914
"843",-0.0218980243532635
"844",-0.0214366750503017
"845",-0.0209642073587515
"846",-0.0204806139138167
"847",-0.0199858876317698
"848",-0.0194800217091606
"849",-0.0189630096220265
"850",-0.0184348451251012
"851",-0.0178955222510246
"852",-0.017345035309552
"853",-0.0167833788867636
"854",-0.016210547844274
"855",-0.0156265373184413
"856",-0.0150313427195773
"857",-0.0144249597311563
"858",-0.0138073843090243
"859",-0.0131786126806095
"860",-0.0125386413441304
"861",-0.0118874670678063
"862",-0.0112250868890661
"863",-0.0105514981137584
"864",-0.00986669831536004
"865",-0.0091706853341862
"866",-0.00846345727659965
"867",-0.00774501251422015
"868",-0.00701534968313378
"869",-0.00627446768310301
"870",-0.00552236567677502
"871",-0.00475904308889208
"872",-0.00398449960550064
"873",-0.00319873517316071
"874",-0.00240174999815545
"875",-0.00159354454570039
"876",-0.000774119539153337
"877",5.65240407768545e-05
"878",0.00089838495682037
"879",0.00175146171593717
"880",0.00261575257010741
"881",0.00349125551712237
"882",0.00437796830137468
"883",0.00527588841464857
"884",0.00618501309691128
"885",0.0071053393371031
"886",0.00803686387392789
"887",0.00897958319664381
"888",0.00993349354585409
"889",0.0108985909142967
"890",0.011874871047636
"891",0.012862329445253
"892",0.0138609613610354
"893",0.0148707618041688
"894",0.0158917255399268
"895",0.0169238470904621
"896",0.0179671207355961
"897",0.0190215405136106
"898",0.0200871002220378
"899",0.0211637934184507
"900",0.022251613421254
"901",0.0233505533104747
"902",0.0244606059285523
"903",0.0255817638811293
"904",0.0267140195378426
"905",0.0278573650331131
"906",0.0290117922669369
"907",0.0301772929056754
"908",0.0313538583828464
"909",0.0325414798999138
"910",0.0337401484270791
"911",0.0349498547040716
"912",0.0361705892409388
"913",0.0374023423188372
"914",0.0386451039908227
"915",0.0398988640826414
"916",0.0411636121935196
"917",0.0424393376969549
"918",0.0437260297415069
"919",0.0450236772515872
"920",0.0463322689282505
"921",0.0476517932499844
"922",0.0489822384735014
"923",0.0503235926345273
"924",0.0516758435485939
"925",0.0530389788118284
"926",0.0544129858017443
"927",0.0557978516780317
"928",0.0571935633833485
"929",0.0586001076441098
"930",0.0600174709712796
"931",0.0614456396611611
"932",0.0628845997961868
"933",0.0643343372457096
"934",0.0657948376667929
"935",0.067266086505002
"936",0.0687480689951928
"937",0.0702407701623048
"938",0.0717441748221501
"939",0.0732582675822043
"940",0.0747830328423973
"941",0.0763184547959034
"942",0.0778645174299326
"943",0.0794212045265198
"944",0.0809884996633173
"945",0.0825663862143836
"946",0.0841548473509753
"947",0.0857538660423365
"948",0.0873634250564902
"949",0.088983506961029
"950",0.0906140941239042
"951",0.0922551687142181
"952",0.093906712703014
"953",0.0955687078640663
"954",0.0972411357746717
"955",0.0989239778164394
"956",0.100617215176081
"957",0.102320828846203
"958",0.104034799626096
"959",0.105759108122524
"960",0.107493734750518
"961",0.109238659734164
"962",0.110993863107395
"963",0.112759324714781
"964",0.11453502421232
"965",0.116320941068227
"966",0.118117054563726
"967",0.119923343793843
"968",0.12173978766819
"969",0.123566364911761
"970",0.125403054065723
"971",0.127249833488201
"972",0.129106681355075
"973",0.130973575660766
"974",0.132850494219029
"975",0.134737414663744
"976",0.136634314449703
"977",0.138541170853404
"978",0.140457960973841
"979",0.142384661733294
"980",0.144321249878119
"981",0.14626770197954
"982",0.148223994434439
"983",0.150190103466144
"984",0.152166005125226
"985",0.15415167529028
"986",0.156147089668727
"987",0.158152223797595
"988",0.160167053044314
"989",0.162191552607505
"990",0.164225697517772
"991",0.166269462638492
"992",0.168322822666606
"993",0.170385752133408
"994",0.172458225405335
"995",0.174540216684763
"996",0.176631700010791
"997",0.178732649260034
"998",0.180843038147415
"999",0.182962840226953
"1000",0.185092028892558
"1001",0.187230577378815
"1002",0.189378458761779
"1003",0.191535645959766
"1004",0.19370211173414
"1005",0.195877828690107
"1006",0.198062769277505
"1007",0.200256905791593
"1008",0.202460210373843
"1009",0.204672655012728
"1010",0.206894211544517
"1011",0.209124851654062
"1012",0.211364546875591
"1013",0.213613268593494
"1014",0.21587098804312
"1015",0.218137676311564
"1016",0.220413304338456
"1017",0.222697842916755
"1018",0.224991262693539
"1019",0.227293534170792
"1020",0.2296046277062
"1021",0.231924513513936
"1022",0.234253161665456
"1023",0.236590542090284
"1024",0.238936624576809
"1025",0.241291378773069
"1026",0.243654774187546
"1027",0.246026780189954
"1028",0.248407366012032
"1029",0.250796500748334
"1030",0.253194153357016
"1031",0.255600292660631
"1032",0.258014887346918
"1033",0.260437905969593
"1034",0.262869316949138
"1035",0.265309088573594
"1036",0.267757188999349
"1037",0.27021358625193
"1038",0.272678248226793
"1039",0.275151142690115
"1040",0.277632237279583
"1041",0.280121499505184
"1042",0.282618896749999
"1043",0.285124396270989
"1044",0.287637965199787
"1045",0.290159570543493
"1046",0.292689179185456
"1047",0.295226757886073
"1048",0.297772273283576
"1049",0.30032569189482
"1050",0.302886980116078
"1051",0.305456104223829
"1052",0.308033030375549
"1053",0.310617724610502
"1054",0.313210152850532
"1055",0.315810280900849
"1056",0.318418074450825
"1057",0.32103349907478
"1058",0.323656520232775
"1059",0.326287103271405
"1060",0.328925213424582
"1061",0.331570815814335
"1062",0.334223875451592
"1063",0.336884357236976
"1064",0.339552225961595
"1065",0.34222744630783
"1066",0.344909982850128
"1067",0.347599800055791
"1068",0.350296862285768
"1069",0.353001133795445
"1070",0.355712578735433
"1071",0.358431161152364
"1072",0.361156844989677
"1073",0.363889594088411
"1074",0.366629372187992
"1075",0.36937614292703
"1076",0.372129869844103
"1077",0.374890516378552
"1078",0.377658045871267
"1079",0.380432421565484
"1080",0.38321360660757
"1081",0.386001564047817
"1082",0.388796256841229
"1083",0.391597647848317
"1084",0.394405699835884
"1085",0.397220375477823
"1086",0.400041637355901
"1087",0.402869447960551
"1088",0.405703769691666
"1089",0.408544564859386
"1090",0.411391795684888
"1091",0.414245424301182
"1092",0.417105412753893
"1093",0.41997172300206
"1094",0.422844316918922
"1095",0.425723156292709
"1096",0.428608202827433
"1097",0.431499418143678
"1098",0.434396763779393
"1099",0.437300201190678
"1100",0.440209691752581
"1101",0.443125196759881
"1102",0.446046677427886
"1103",0.448974094893216
"1104",0.4519074102146
"1105",0.454846584373665
"1106",0.457791578275722
"1107",0.460742352750565
"1108",0.463698868553253
"1109",0.466661086364907
"1110",0.469628966793494
"1111",0.472602470374627
"1112",0.475581557572344
"1113",0.478566188779911
"1114",0.4815563243206
"1115",0.484551924448491
"1116",0.487552949349253
"1117",0.490559359140941
"1118",0.493571113874785
"1119",0.496588173535979
"1120",0.499610498044472
"1121",0.50263804725576
"1122",0.505670780961675
"1123",0.508708658891178
"1124",0.511751640711145
"1125",0.514799686027162
"1126",0.517852754384315
"1127",0.520910805267977
"1128",0.523973798104602
"1129",0.527041692262517
"1130",0.530114447052706
"1131",0.533192021729607
"1132",0.536274375491901
"1133",0.5393614674833
"1134",0.542453256793342
"1135",0.545549702458175
"1136",0.548650763461357
"1137",0.551756398734636
"1138",0.554866567158747
"1139",0.557981227564204
"1140",0.561100338732085
"1141",0.564223859394827
"1142",0.567351748237012
"1143",0.570483963896166
"1144",0.573620464963538
"1145",0.5767612099849
"1146",0.579906157461333
"1147",0.583055265850021
"1148",0.586208493565037
"1149",0.589365798978136
"1150",0.592527140419546
"1151",0.595692476178757
"1152",0.598861764505316
"1153",0.60203496360961
"1154",0.605212031663662
"1155",0.608392926801922
"1156",0.611577607122054
"1157",0.614766030685729
"1158",0.617958155519414
"1159",0.621153939615165
"1160",0.624353340931415
"1161",0.627556317393766
"1162",0.63076282689578
"1163",0.633972827299768
"1164",0.637186276437581
"1165",0.640403132111401
"1166",0.643623352094532
"1167",0.64684689413219
"1168",0.650073715942294
"1169",0.653303775216254
"1170",0.656537029619766
"1171",0.6597734367936
"1172",0.663012954354389
"1173",0.666255539895424
"1174",0.66950115098744
"1175",0.672749745179411
"1176",0.676001279999334
"1177",0.679255712955027
"1178",0.682513001534915
